commit,avg,input1.txt,input2.txt,input3.txt,input4.txt,input5.txt,input6.txt,input7.txt,input8.txt
Add CI for build and filechecks (#3),305642.1875,12.0,941.6,5962.9,14057.7,55391.7,165509.2,551043.7,1652218.7
Function inline pass (#7),305586.5,12.0,878.5,5900.5,13993.7,55327.7,165445.2,550979.7,1652154.7
RemoveUnusedPass (#10),305586.5,12.0,878.5,5900.5,13993.7,55327.7,165445.2,550979.7,1652154.7
Arithmetic pass (#8),285577.25,12.0,788.5,5486.5,13039.7,51673.7,154591.2,514925.7,1544100.7
Add SimplifyCFGPass (#9),286065.6,12.0,770.7,5478.1,13041.6,51744.0,154844.0,515817.2,1546817.2
Update skeleton code from https://github.com/snu-sf-class/swpp202101-compiler,286065.6,12.0,770.7,5478.1,13041.6,51744.0,154844.0,515817.2,1546817.2
Support compiler options (#17),286065.6,12.0,770.7,5478.1,13041.6,51744.0,154844.0,515817.2,1546817.2
Fix wrong return value (#35),286065.6,12.0,770.7,5478.1,13041.6,51744.0,154844.0,515817.2,1546817.2
Fix RemoveUnusedPass bug (#31),286065.6,12.0,770.7,5478.1,13041.6,51744.0,154844.0,515817.2,1546817.2
Function inline pass bug fix (#20),286065.6,12.0,770.7,5478.1,13041.6,51744.0,154844.0,515817.2,1546817.2
Automate testing benchmarks (#23),286065.6,12.0,770.7,5478.1,13041.6,51744.0,154844.0,515817.2,1546817.2
Add GVNPass (#25),285053.6,12.0,768.7,5460.1,12995.8,51561.4,154296.4,513992.2,1541342.2
Phierasepass (#27),285053.6,12.0,768.7,5460.1,12995.8,51561.4,154296.4,513992.2,1541342.2
Add BranchPredictPass (#29),266760.35,12.0,741.7,5136.1,12176.8,48267.4,144402.4,480998.2,1442348.2
Implement basic LoopVectorizePass (#32),266760.35,12.0,741.7,5136.1,12176.8,48267.4,144402.4,480998.2,1442348.2
Update skeleton code (6/1),266760.35,12.0,741.7,5136.1,12176.8,48267.4,144402.4,480998.2,1442348.2
Fix CI & compiler option (#42),266760.35,12.0,741.7,5136.1,12176.8,48267.4,144402.4,480998.2,1442348.2
